NAME                                                                                     USED  AVAIL     REFER  MOUNTPOINT
backup-pool                                                                             89.8G  3.39T      192K  none
backup-pool/reserved                                                                    8.00G  3.40T      192K  none
backup-pool/system                                                                      36.3G  3.39T      192K  none
backup-pool/system/etc                                                                  8.71G  3.39T     7.90G  legacy
backup-pool/system/root                                                                 49.7M  3.39T     14.4M  legacy
backup-pool/system/var                                                                  27.5G  3.39T     1.43G  legacy
backup-pool/user                                                                        45.0G  3.39T      192K  none
backup-pool/user/home                                                                   45.0G  3.39T      192K  legacy
backup-pool/user/home/dev                                                               45.0G  3.39T     35.8G  legacy
data-pool                                                                               1.16T  1.76T      192K  none
data-pool/docker                                                                        61.3G  1.76T     6.50G  legacy
data-pool/docker/00877ed0524577f1cc5c97fe1b25ed622c10712d56d4823193088270b191d202        192K  1.76T      127M  legacy
data-pool/docker/02119ac0605cac9e23ef66f963922895f5d342f08bc47e946c692558862633cd        711M  1.76T      799M  legacy
data-pool/docker/02b923718498fb9bfe52aa7f0bdb9cf7f402c7750d8ca3146f8adf0044069512        192M  1.76T      213M  legacy
data-pool/docker/09e437c8a62e3dca8e429e09099a8040dc4d64c5d23a210ce1db02776d3484cb        216K  1.76T      123M  legacy
data-pool/docker/14f4a917f8e1d47321d0aeb1d7c6ce0bd04fc5fcb953cb4a0e565f575903dc9b        224K  1.76T      126M  legacy
data-pool/docker/16d9956bef397966c3cca23da7a2ab56675a6cedee3c9a160641726e954f760c       6.43M  1.76T     21.2M  legacy
data-pool/docker/1937cfb4d3e14d7991d11c5691a6f93eb152c033774b23cd67279340c7e6d592       6.29M  1.76T     6.29M  legacy
data-pool/docker/1e311cba21168fa4bf34cad54911fcbe8f30fa406b7ada3250842c53039cd157       61.8M  1.76T     71.4M  legacy
data-pool/docker/1f7ac625dd313ebc0475536f81b6b9650411a81e92be7dc197f49fa327dc69e5       1.26M  1.76T     1.26M  legacy
data-pool/docker/1f7da4bc70c7d23ae70d9c3d7b27c76e845149854fd879ccc0a53cc7bf22e49a       71.1M  1.76T     71.1M  legacy
data-pool/docker/248b6d91e60f2329be8ffa5152dd843662809d72491868790c4e518a57685953       6.41M  1.76T     21.2M  legacy
data-pool/docker/28133ca1db07c510d02fb15b2b1413ef90661cb8ddff68de066add89398cf8f6       5.41M  1.76T     5.41M  legacy
data-pool/docker/2c60bf30cdfb1a3633821bc388ab8c8b23debd95c6ea0856dad822a6991e9a9c        200K  1.76T      126M  legacy
data-pool/docker/355ce54a099f171b3858657e7335b10755956c009b1c339a5f366cb353f84d0b       8.71M  1.76T     9.77M  legacy
data-pool/docker/369b22427c7f8c71e8832ecf67494e1eafe74ab71fdfedba6b586bd6218a9580        280K  1.76T      127M  legacy
data-pool/docker/36c486b196d428cf560f4cf9688411e4c695896d8eca858a5c8691ec003afbe6        192M  1.76T      213M  legacy
data-pool/docker/397515d5b7d1ccd4ddfe33f0a845cebcb6ef6871e9582c2dd84049647924ad0f        224K  1.76T      123M  legacy
data-pool/docker/3cb2fefd2e5694747def352d6c06b80f1d77f2370ad9cd568720e10ebc430ecc        192K  1.76T     5.44M  legacy
data-pool/docker/4135c597b4bff1957432f3aea33b81a0b01ccd6c31a3fc52492ab419fd1d95e7       10.4M  1.76T     15.3M  legacy
data-pool/docker/45c8398b710a585a13251cb212ada8de68326e392c816fe00a5bc981b9e749bf        107M  1.76T      107M  legacy
data-pool/docker/47bef2067e8878b30f7b6ac58e62f23ff18dc4c0fb703a9102c2667a455d66a8       20.8M  1.76T      819M  legacy
data-pool/docker/4efb19ea669cee8c649730229c9183f88ac69b0d1cf04b572999af8d46ec933f        232K  1.76T      818M  legacy
data-pool/docker/516c6eeaff0a6b212da4d57031a1aabbe469d5f4844a43eb1d52fb4cc25f39ae       17.4M  1.76T     88.2M  legacy
data-pool/docker/536e9549a502a08b43f27a94766162bccb75004ae15980e1875dac715b6e4f78        192K  1.76T     5.44M  legacy
data-pool/docker/54378193c7b1107b21518c4d82cda39586ede9ceb2c19766b23118eb9234f4a1        192K  1.76T      213M  legacy
data-pool/docker/588789fabc3efaf8bb224d4df85390b1c8b8f6c9fd9ab949576a60790caebb8e        200K  1.76T      126M  legacy
data-pool/docker/58f6aa7979b5b06c3c04e2e483f80d5d5beb519b5026034cbe593fe3f6e0d033        232K  1.76T      213M  legacy
data-pool/docker/5980e1b1a3e864784a6ba068f6089e2afbd365744b22a4b74706a13ad5118739        192K  1.76T      192K  legacy
data-pool/docker/5b40bf9aff021d51aa2ff9aaa940f7659df98bbc61f0fee317c48093ffd1b6f6        224K  1.76T      127M  legacy
data-pool/docker/5f6f8788e591d72a3c25d834928440c5e50f169982ff945451b45b5c841d11c4        200K  1.76T      127M  legacy
data-pool/docker/605e31ec09b9d65dfc24ebfb1c7d34202432cfd79d0f873873ccf70a8ab059a6       6.41M  1.76T     21.2M  legacy
data-pool/docker/6367f538c5a60d130f61331fd9941a1425309691c0b515c245e1376825d87387       5.44M  1.76T     5.44M  legacy
data-pool/docker/64cbe3685acbebdc7bb6724c55bd87251f237f5959eecdee79cd399952bad016        224K  1.76T      818M  legacy
data-pool/docker/69679eb831f2b5a22d7cee3209f34a64b4afd6acd134905302887157e23b9cb7        232K  1.76T      819M  legacy
data-pool/docker/6a258dd572adf2451064959f483a893352edd6e8602577558e6bf63642ed357b        200K  1.76T      126M  legacy
data-pool/docker/6b76f4821ed6ce9301c3d1544d00caa769087357e5eaac1f8ca20780710d2dda       17.9M  1.76T     88.8M  legacy
data-pool/docker/6cedb2b8d94bc9a29cf2511c19754774c520f11cc37054c5595fc72ffc2947d5        160K  1.76T     15.3M  legacy
data-pool/docker/6dc314df591a8f6fedfeada3e67b7ac6201744f92dc9a95d0dd43b79f4c4fa99        711M  1.76T      799M  legacy
data-pool/docker/74677b259fd3185d0d18293a0653d98f9987848951e5cd3c522c55f8320659b0        336K  1.76T      126M  legacy
data-pool/docker/7a4bff3090f6c0441df4092b8c4bd7cb5ef1fe37956d32baa92e09f84d14b46c        711M  1.76T      799M  legacy
data-pool/docker/7c665ef7118e524863d1a98d29b08428ddd16aa820682e65bfbf1ee57c6c69a9        192K  1.76T      192K  legacy
data-pool/docker/7ccad89d88a80788ef4f76e474b3f2b75bcc74a328e1e6d234b1fabfdbf5b763       61.4M  1.76T     71.0M  legacy
data-pool/docker/7fdbb3b11fa05abccb0846e7105f88a900b4fcf22be700cdb6094ffd48af5ea2       1.28M  1.76T     1.28M  legacy
data-pool/docker/7fe9e0c585b743f7f3b98d7a4e24bbc1956ae68ac4be22269e4cc87d6a5425cf       17.5M  1.76T     88.3M  legacy
data-pool/docker/84c32d88b6a596aaf52bb666526e400f1b91eae08c668468663eb86a7b8aedf3       1.30M  1.76T     1.30M  legacy
data-pool/docker/85ed27a92008e1634835e0173fa50cd83d0ed5a88f89242f87b92fbf18b158e5        232K  1.76T      818M  legacy
data-pool/docker/960522ff0b676d8131bcd826c23bb98c1a5ed9b7c1519bd6b1b7ed522a3a2a77        160K  1.76T      213M  legacy
data-pool/docker/960522ff0b676d8131bcd826c23bb98c1a5ed9b7c1519bd6b1b7ed522a3a2a77-init   288K  1.76T      213M  legacy
data-pool/docker/9b7a7d3b8aed333b48e12498551cbf4e5ab9319bcac231e63de676ca297b4d4b       10.4M  1.76T     15.2M  legacy
data-pool/docker/a34d31c9f20e6a35d8333c3d60447f7b6ace1171045996084a3f8b1a66e57ff6       71.0M  1.76T     71.0M  legacy
data-pool/docker/a5ab7639e28669ab086555ee90fee935c73b277abb828bbd17c4e56822db0084        202M  1.76T      223M  legacy
data-pool/docker/a5ef26eab3e8a33d6e87de2fa5b07fc2f8b25f148150e36df87ce92667ae44b6       20.4M  1.76T      818M  legacy
data-pool/docker/ab8110af7860d97b0be1bd6eaed48892e24a8734184132e6170a733b15ee9ee9       8.74M  1.76T     9.77M  legacy
data-pool/docker/abaaa31638c13146a3754682b5d26b5e79a3daa9013ac259de26bbb7a2252ede        296K  1.76T      126M  legacy
data-pool/docker/b1a3980a70accfdac3b61bfdc67f1c6843c0a3bae82799ab7fca1e920d5d3b59        192K  1.76T      213M  legacy
data-pool/docker/b5eac8ed1da5e1bd73815c829ccbc5077e9bb155a46387549c3a968eb42c013d        224K  1.76T      819M  legacy
data-pool/docker/b71119f38c7d9fbbba5d8bca79e6dad24667fcf0b774d792cd982198273edf80       20.9M  1.76T      819M  legacy
data-pool/docker/b723089bd6dc0f6be30ad31a0824e62d52a53d0a6df2593679c369f781b40e8a        208K  1.76T     5.45M  legacy
data-pool/docker/bc589cd90858a96c68dbf70dfa71fbc5fd05874073edd923aa57a67d23adcd7e       8.77M  1.76T     9.80M  legacy
data-pool/docker/beecb087d571cebbc21a931382a7c61a95f9819611ad29447a38487e79656bd9        200K  1.76T      126M  legacy
data-pool/docker/bf27c63d611503c5c915b8b488a2a57873b333d3edbb58a1dde548e9e97b65db       10.4M  1.76T     15.3M  legacy
data-pool/docker/c3fb31e5e8899c72c354b905fdfd68e1dcab83965a6637050cdedafba3f99a81       71.0M  1.76T     71.0M  legacy
data-pool/docker/d14e391d2a069fcfcb52711bf4d551f285a20c60a2dfb1d553a89acadc029235        248K  1.76T      123M  legacy
data-pool/docker/d30156305c47175e1d668d21998a98bb141e2166b0a23679833769c5eec5e491        160K  1.76T     15.3M  legacy
data-pool/docker/d57e4c8690f154a6cf3c86be2e5f881d4317caa679f540622b0d68bd052e5102        112K  1.76T      126M  legacy
data-pool/docker/d57e4c8690f154a6cf3c86be2e5f881d4317caa679f540622b0d68bd052e5102-init   224K  1.76T      126M  legacy
data-pool/docker/d5938d1997a2d871613aa7c464683fcac99c6976ed212ebdae89a1acb8ab1e21       71.0M  1.76T     71.0M  legacy
data-pool/docker/d688b0df5e41c5b88d3e571ad388e2621bd2a47910b1ae839cea856394dd0621       55.4M  1.76T      127M  legacy
data-pool/docker/d7e41f5971782cf1e668ace3013f397f178fa0ebcfe8955e571d8b5bf5edf8f4        240K  1.76T      818M  legacy
data-pool/docker/d90bbeb6d1f332932340d28bcab78702233d947914f8cec20836d9743e084dbe        240K  1.76T      819M  legacy
data-pool/docker/dd0fbb16b20a86a566588c377d7b8e85489b4082d0242438156f66997a713bf8        160K  1.76T     15.2M  legacy
data-pool/docker/def35ec0c2d90e026e922e6f170c3695926aa94f88fe995d41fb0dbc5e74ee4c       5.23M  1.76T     5.23M  legacy
data-pool/docker/e17c7abe248f30686b1ce729c1b5e7a55bf8878bae0f6fef17c9054f26097819        232K  1.76T      213M  legacy
data-pool/docker/e289fa4cf9c481c3acccb81d1298ce795593c7960519f23dab745cd831545ade       55.3M  1.76T      126M  legacy
data-pool/docker/e75c52cd534fac55b8218b0f26cd6c2945e2c075453500b675529a8ab6d6e3d1       17.7M  1.76T     88.6M  legacy
data-pool/docker/e8939e78bb95b467893bc46d3e9cadbfa00599aeeba9ff90605568b7465424b5       1.25M  1.76T     1.25M  legacy
data-pool/docker/eb9902b3a362550f4f942a7913e89a841cda8d67974c87d3c70eddf3cfa1ff34        200K  1.76T      127M  legacy
data-pool/docker/ed606051c5928cd026a3d28dfc5f1b6173efcd60c944df1a4c9483e910bb3a63        192K  1.76T      126M  legacy
data-pool/docker/ee61dbc51d2f7b8336b1bd4130803616c095d2cdd96314df80f4a971dc254437        232K  1.76T      127M  legacy
data-pool/docker/f02711a25592c15c94e650e82c3c2fe0e78e55c98b7ab3a7b44a251f444b7b9e       53.4M  1.76T      123M  legacy
